il_ju,content_ko,content_en
계해,극단적으로 총명한 천재적 두뇌를 타고난 당신은 알 수 없는 신비감이 느껴지는 사람이에요. 일은 치밀하고 분명하게 하지만 대인관계에 있어서는 부드럽고 정이 많은 사람입니다. 과시욕이 남달라서 그래요. 두뇌 회전이 워낙 빠르고 상상력의 스케일이 굉장히 넓습니다. 반면에 행동은 좀 느리군요. 하지만 마음 먹고 한 가지에 집중하면 그 누구도 이루기 어려운 거대한 성취를 빠르게 성취합니다. 극단적인 반전의 힘이 당신의 신비감을 더욱 매력적으로 만듭니다. 글로벌도 모자라 우주적 스케일의 이상을 가지고 살아 갑니다. 좁은 곳에 머물지 말고 해외를 대상으로 이상을 펼친다면 반드시 크게 성공하는 사람입니다.,"You are an extraordinarily intelligent person, gifted with an almost mysterious, genius-level brain. You approach work with meticulous attention to detail and clarity, yet you are also soft-hearted and caring in your relationships. Your tendency to show off is significant due to your rapid thinking and vast imagination. However, your actions may be slow at times. But once you focus on something, you can achieve massive success quickly, something that others would find difficult to match. Your extreme contrasts in personality add to your mystique, and you live with grand ideals, even on a universal scale. If you pursue your dreams internationally, you are bound for great success."
임술,뛰어난 육감과 종교적 영성을 타고난 당신은 범상치 않은 강한 힘을 가진 사람이에요. 솔직 담백한 성격이지만 내면에는 무척 강한 자존심을 가졌습니다. 한눈에 상황을 파악하는 직관력과 미래를 내다 보는 예지력을 지니고 있습니다. 당신 앞에서 어설픈 꾀를 부리다가는 바로 걸립니다. 재물을 쌓는 재능은 타의 추종을 불허합니다. 통크게 돈을 쓰면서 돈을 모으는 사람입니다. 타고난 그릇이 커서 고난을 당하면 당할수록 더 강해지며 능력을 발휘합니다. 그 어떤 고난도 이겨내는 강한 사람이지만 한없이 쓸쓸한 기분을 느끼며 살아 가는군요. 종교적 구원에 대한 열망이 강합니다. 자신이 가진 강한 힘을 타인의 고통을 풀어 주는 일에 쓴다면 정말 멋지고 아름다운 삶을 이루는 사람입니다.,"You possess strong intuition and a spiritual inclination, which makes you a person of great power. While you have a candid and straightforward personality, you also have an incredibly strong sense of pride. Your ability to grasp situations immediately, along with foresight, gives you an edge. You have an undeniable talent for accumulating wealth, managing it with generosity and growing it significantly. The more hardships you face, the stronger and more capable you become. Your deep desire for religious salvation adds to your complex inner world. Using your strength to alleviate others' suffering could lead to a beautifully fulfilling life."
신유,사물에 대한 예리한 판단력과 세밀한 직관력을 타고난 당신은 예술가적 기질과 장인 정신으로 만물의 결실을 유도하는 사람이에요. 불의를 보면 절대로 참지 못하지요. 서릿발 같은 정의감이 프로의식과 섞이면서 순결한 완벽주의를 추구합니다. 하지만 자존심과 고집 때문에 손해 보는 경우가 많군요. 말 속에 칼이 들어 있어서 그래요. 말하는 방식만 바꿔도 많은 사람들과 잘 지낼 수 있습니다. 타고난 순수하고도 정의로운 열정을 충분히 발휘하기 위해서지요. 당신은 이 사회에 꼭 필요한 사람이고 반드시 성공하는 사람이에요.,"You were born with a sharp sense of judgment and detailed intuition, combined with artistic sensibility and a craftsman's spirit. You cannot tolerate injustice, and your strong sense of justice drives you toward perfectionism. However, due to your pride and stubbornness, you sometimes face losses. Your words can be sharp, but by adjusting your tone, you can easily improve your relationships with others. You are a crucial and successful person in society."
경신,자기 주관이 뚜렷한 당신은 언제나 정도를 걷고자 하는 의지로 충만한 사람이에요. 강한 자기 확신이 그 길을 만듭니다. 내가 가는 길이 정도라는 확신 말이죠. 따라서 명예롭다고 생각하는 일에 있어서는 추진력과 뚝심이 대단합니다. 약자를 위한 일이 가장 명예롭다고 생각하고 뛰어든다면 반드시 성공하고 역사에 남을 사람이 됩니다.,"With a clear sense of self, you are always determined to follow the righteous path. Your strong self-confidence propels you forward, and when you find what you deem noble, your drive and persistence are unmatched. If you focus on work for the weak, you will undoubtedly succeed and leave a lasting legacy."
기미,내면에 강한 자존심과 명예욕을 타고난 당신은 뚝심에 있어서는 타의 추종을 불허하는 사람이에요. 포기라는 말은 사전에 없는 사람이지요. 가족은 그 무엇과도 바꿀 수 없는 가치이자 힘의 원천이라고 생각합니다. 부를 이루기 위해 우여곡절을 겪지만 특유의 뚝심으로 반드시 성공하는 사람입니다.,"You were born with a deep sense of pride and honor, and your determination is second to none. The concept of giving up does not exist for you. You believe that family is the most invaluable source of strength. Though you may face struggles to achieve wealth, your perseverance will lead you to success."
무오,공부하기를 좋아하고 인내와 노력은 내 특기라고 생각하는 당신은 고통 역시 순리라고 생각하고 받아들이는 사람이에요. 타고난 기운이 워낙 강한 데다가 인내와 노력이 수반되니 천상천하 유아독존이라는 자존감이 생길 수밖에 없지요. 다만 제어할 수 없을 정도로 크게 화를 내는 경우만 잘 제어한다면 만인을 이끄는 지도자 또는 큰 부자가 될 사람입니다.,"You enjoy studying and believe that endurance and effort are your strengths. You view hardship as a natural part of life and accept it with grace. Your inner strength, combined with your patience and effort, naturally gives you an immense sense of self-worth. However, if you can control your occasional outbursts of anger, you will become a great leader or a successful person in life."
정사,"화창한 성격의 팔방미인인 당신은 예측 불가능한 성향을 지니고 있지만, 기본적으로 실리를 추구하는 사람이에요. 상승과 응축이라는 내면의 상반되는 강한 힘이 현실에서는 극단적 경향으로 나타나는 사람입니다. 돈을 많이 벌기도 하고 전 재산을 사회에 환원하기도 하는군요. 타고난 자신의 에너지를 문명의 모순을 밝히는 능력으로 쓴다면, 널리 사람을 따뜻하게 하는 사람이 될 거예요.","Your charming, multifaceted personality makes you unpredictable, but you ultimately seek practicality. The internal conflict between expansion and contraction shows up in your life as extreme behavior. Sometimes you make a lot of money and at other times donate your entire fortune to society. If you use your energy to illuminate societal contradictions, you will warm and inspire many people."
병진,타고난 성품이 명랑하고 자비로우며 베풀기를 좋아하는 당신은 보기보다 침착하고 끈기가 있는 사람이에요. 유머와 재치를 겸비한 은근한 친화력은 중후한 매력으로 나타납니다.,"With a naturally kind and generous heart, you may come across as calm and collected, but you are also deeply persistent. Your humor, wit, and subtle charm make you well-liked by others."
을묘,타고난 공감력과 세련된 감각의 소유자인 당신은 인정이 있고 뛰어난 예술적 감수성을 지녔기에 사람들에게 인기가 많습니다. 유연성에 있어서는 타의 추종을 불허하는군요. 하지만 할 말은 하는 주관과 고집 또한 대단한 사람이에요. 유연하고 합리적인 성향을 통해 널리 사람을 부드럽게 만드는 사람입니다.,"You possess a deep sense of empathy and refined aesthetic sensitivity, and people are drawn to you because of your compassion. You are highly flexible and adaptable, though you have your strong opinions and can be quite stubborn. Your rational and flexible approach makes you a smooth communicator, making others feel at ease with you."
갑인,"근본이 진취적이고 명랑한 당신은 초봄의 강력한 상승 기운을 지니고 태어났습니다. 따라서 추진력에 있어서는 타의 추종을 불허합니다. 자존심이 말도 못하게 강합니다. 자아가 워낙 막강해서 그래요. 하늘과 땅 사이에 오직 내가 존재한다는 생각이 강한 자존심과 강력한 자의식을 만드니까요. 남의 도움 없이 오직 자기 힘으로 일을 성취하는 힘은 가장 큰 장점입니다. 매사에 적극적이고 능동적인 태도도 부러워 할 만하지요. 호기심을 탐구심으로 연결하는 능력 덕분에 기획력이 뛰어납니다. 인문학과 예술, 기술 분야에서 높은 성취가 예상되는군요. 만인의, 만인에 대한, 만인에 의한 경쟁 사회인 현대 사회에서는 반드시 성공하는 자질입니다. 다만 고립을 자초하는 과도한 돌진은 조심할 필요가 있습니다. 내 힘을 나누어 주고 함께 성취할 동지를 얻는다면 정말 멋있는 사람이 될 거란 말입니다.","You are fundamentally ambitious and optimistic, with a powerful drive to push forward in life. Your self-pride and strong sense of self-awareness make you determined and resilient. Once you set your mind to something, you can achieve great things on your own, without the help of others. You are highly proactive and curious, with strong planning skills, which will likely lead to high achievements in humanities, arts, and technology. However, you should be cautious of isolating yourself due to excessive impulsiveness, as collaborating with others will bring even greater success."
