il_gan,character,most_oheang,content_ko,content_en
계,1,water,"모빈은 유연하고 온화한 성품을 가진 캐릭터입니다. {name} 님은 모빈들 중에서도 사회성과 처세술의 비율이 가장 많네요. 아래에서 위로 솟는 힘을 부드럽게 분출하고, 밖으로 나가지 않으면서도 안을 바깥만큼 넓히려 애쓰는군요. 적응력과 통찰력 갑입니다. 경쟁자를 동료로 만들어 버리는 처세술과, 투쟁 대상의 입장마저 이해하는 사회성으로 널리 세상을 촉촉하고 부드럽게 만드는 모빈입니다.","MoVin is a character with a flexible and gentle nature. Among the MoVins, {name} has the highest proportion of sociability and tact. They gently release their inner power from the bottom up, and while not going outward, they strive to expand their inner world as much as the outside. Their adaptability and insight are exceptional. With sociability that turns competitors into allies and tact that understands even the stance of their opponents, {name} is/are a MoVin who makes the world moist and soft."
계,1,gold,"모빈은 유연하고 온화한 성품을 가진 캐릭터입니다. {name} 님은 모빈들 중에서도 완벽주의와 예리함의 비율이 가장 많네요. 아래에서 위로 솟는 힘을 부드럽게 분출하고, 밖으로 나가지 않으면서도 안을 바깥만큼 넓히려 애쓰는군요. 적응력과 통찰력 갑입니다. 적응력과 통찰력 갑입니다. 드러나 보이지 않지만 반드시 결과를 내는 완벽주의와, 총명함에서 비롯된 예리한 촉으로 널리 세상을 촉촉하고 부드럽게 만드는 모빈입니다.","MoVin is a character with a flexible and gentle nature. Among the MoVins, {name} has the highest proportion of perfectionism and sharpness. They gently release their inner power from the bottom up, and while not going outward, they strive to expand their inner world as much as the outside. Their adaptability and insight are exceptional. Hidden from view, yet inevitably producing results with perfectionism, and a sharp intuition born from intelligence, {name} is/are a MoVin who makes the world moist and soft."
계,1,ground,"모빈은 유연하고 온화한 성품을 가진 캐릭터입니다. {name} 님은 모빈들 중에서도 차분함과 성실함의 비율이 가장 많네요. 아래에서 위로 솟는 힘을 부드럽게 분출하고, 밖으로 나가지 않으면서도 안을 바깥만큼 넓히려 애쓰는군요. 적응력과 통찰력 갑입니다. 적응력과 통찰력 갑입니다. 특유의 유연함에서 비롯된 차분함과, 할 수 있을 때 남 신경 안 쓰고 바짝 해버리는 지혜로운 성실성으로 널리 세상을 촉촉하고 부드럽게 만드는 모빈입니다.","MoVin is a character with a flexible and gentle nature. Among the MoVins, {name} has the highest proportion of calmness and diligence. They gently release their inner power from the bottom up, and while not going outward, they strive to expand their inner world as much as the outside. Their adaptability and insight are exceptional. Derived from their unique flexibility, calmness, and the wise diligence of doing things when they can without worrying about others, {name} is/are a MoVin who makes the world moist and soft."
계,1,fire,"모빈은 유연하고 온화한 성품을 가진 캐릭터입니다. {name} 님은 모빈들 중에서도 리더십과 활동성의 비율이 가장 많네요. 아래에서 위로 솟는 힘을 부드럽게 분출하고, 밖으로 나가지 않으면서도 안을 바깥만큼 넓히려 애쓰는군요. 적응력과 통찰력 갑입니다. 배려와 공감의 리더십과, 솔선수범하는 활동성으로 널리 세상을 촉촉하고 부드럽게 만드는 모빈입니다.","MoVin is a character with a flexible and gentle nature. Among the MoVins, {name} has the highest proportion of leadership and activity. They gently release their inner power from the bottom up, and while not going outward, they strive to expand their inner world as much as the outside. Their adaptability and insight are exceptional. With leadership based on care and empathy, and the activity that leads by example, {name} is/are a MoVin who makes the world moist and soft."
계,1,wood,"모빈은 유연하고 온화한 성품을 가진 캐릭터입니다. {name} 님은 모빈들 중에서도 인자함과 추진력의 비율이 가장 많네요. 아래에서 위로 솟는 힘을 부드럽게 분출하고, 밖으로 나가지 않으면서도 안을 바깥만큼 넓히려 애쓰는군요. 적응력과 통찰력 갑입니다. 약자들의 아픔에 공감하는 인자함과, 생기 있고 발랄한 추진력을 통해 널리 세상을 촉촉하고 부드럽게 만드는 모빈입니다.","MoVin is a character with a flexible and gentle nature. Among the MoVins, {name} has the highest proportion of kindness and drive. They gently release their inner power from the bottom up, and while not going outward, they strive to expand their inner world as much as the outside. Their adaptability and insight are exceptional. With kindness that empathizes with the pain of the weak, and vibrant, lively drive, {name} is/are a MoVin who makes the world moist and soft."
임,1,water,"모빈은 통이 크고 예지력이 뛰어난 캐릭터입니다. {name} 님은 모빈들 중에서도 사회성과 처세술의 비율이 가장 많네요. 위에서 아래로 떨어지는 모든 것들을 품어 안으며, 그것들을 살리기 위해, 얼리는 힘을 실행하면서, 밖을 안보다 더 좁게 만들어버리는군요. 포용력과 응집력 갑이네요. 투쟁하면서도 상대를 인정하는 처세술과, 경쟁하면서도 상대를 배려하는 사회성을 통해 널리 세상을 풍요롭게 만드는 모빈입니다.","MoVin is a character with great generosity and foresight. Among the MoVins, {name} has the highest proportion of sociability and tact. They embrace everything that falls from above and below, using the power of freezing to save it, making the outside smaller than the inside. Their inclusivity and cohesion are exceptional. Through tact that recognizes the opponent while competing, and sociability that cares for others while competing, {name} is/are a MoVin who enriches the world"
임,1,gold,"모빈은 통이 크고 예지력이 뛰어난 캐릭터입니다. {name} 님은 모빈들 중에서도 완벽주의와 예리함의 비율이 가장 많네요. 위에서 아래로 떨어지는 모든 것들을 품어 안으며, 그것들을 살리기 위해, 얼리는 힘을 실행하면서, 밖을 안보다 더 좁게 만들어버리는군요. 포용력과 응집력 갑이네요. 시원시원하면서도 완벽한 일처리와, 사물의 본질을 한눈에 꿰버리는 예리한 통찰력을 통해 널리 세상을 풍요롭게 만드는 모빈입니다.","MoVin is a character with great generosity and foresight. Among the MoVins, {name} has the highest proportion of perfectionism and sharpness. They embrace everything that falls from above and below, using the power of freezing to save it, making the outside smaller than the inside. Their inclusivity and cohesion are exceptional. With straightforward perfectionism and sharp insight that captures the essence of things, {name} is/are a MoVin who enriches the world."
임,1,ground,"모빈은 통이 크고 예지력이 뛰어난 캐릭터입니다. {name} 님은 모빈들 중에서도 차분함과 성실함의 비율이 가장 많네요. 위에서 아래로 떨어지는 모든 것들을 품어 안으며, 그것들을 살리기 위해, 얼리는 힘을 실행하면서, 밖을 안보다 더 좁게 만들어버리는군요. 포용력과 응집력 갑이네요. 본질적이지 않은 것들에 휘둘리지 않는 차분함과, 오직 본질적인 것만을 추구하는 우직한 성실함을 통해 널리 세상을 풍요롭게 만드는 모빈입니다.","MoVin is a character with great generosity and foresight. Among the MoVins, {name} has the highest proportion of calmness and diligence. They embrace everything that falls from above and below, using the power of freezing to save it, making the outside smaller than the inside. Their inclusivity and cohesion are exceptional. With calmness that doesn’t show but supports, and diligence that works without being seen, {name} is/are a MoVin who enriches the world."
임,1,fire,"모빈은 통이 크고 예지력이 뛰어난 캐릭터입니다. {name} 님은 모빈들 중에서도 리더십과 활동성의 비율이 가장 많네요. 위에서 아래로 떨어지는 모든 것들을 품어 안으며, 그것들을 살리기 위해, 얼리는 힘을 실행하면서, 밖을 안보다 더 좁게 만들어버리는군요. 포용력과 응집력 갑이네요. 내가 가진 것을 먼저 주는 통큰 리더십과, 내가 없는 것을 갖기 위해 쉬지 않고 전진하는 활동력을 통해 널리 세상을 풍요롭게 만드는 모빈입니다.","MoVin is a character with great generosity and foresight. Among the MoVins, {name} has the highest proportion of leadership and activity. They embrace everything that falls from above and below, using the power of freezing to save it, making the outside smaller than the inside. Their inclusivity and cohesion are exceptional. Through the active leadership built on solidarity and unseen leadership, {name} is/are a MoVin who enriches the world."
임,1,wood,"모빈은 통이 크고 예지력이 뛰어난 캐릭터입니다. {name} 님은 모빈들 중에서도 인자함과 추진력의 비율이 가장 많네요. 위에서 아래로 떨어지는 모든 것들을 품어 안으며, 그것들을 살리기 위해, 얼리는 힘을 실행하면서, 밖을 안보다 더 좁게 만들어버리는군요. 포용력과 응집력 갑이네요. 보상을 바라지 않고 가진 걸 나눠 주는 인자함과, 목표를 향한 놀라운 집중력과 추진력을 통해, 널리 세상을 풍요롭게 만드는 모빈입니다.","MoVin is a character with great generosity and foresight. Among the MoVins, {name} has the highest proportion of kindness and drive. They embrace everything that falls from above and below, using the power of freezing to save it, making the outside smaller than the inside. Their inclusivity and cohesion are exceptional. With kindness that shares without expecting rewards and an amazing focus and drive toward their goals, {name} is/are a MoVin who enriches the world widely."
정,4,water,"딘은 따뜻하고 배려심이 깊은 캐릭터입니다. {name} 님은 딘들 중에서도 사회성과 처세술의 비율이 가장 많네요. 어둠 속에서 더욱 빛나는 아름다움과, 추위 속에서도 따뜻하게 타오르는 지혜를 통해, 밖에서 안으로 밀고 들어오는 힘이 대단합니다. 목표를 위해 필요한 만큼의 처세술과, 목적이 분명한 일을 합리적 명분을 가지고 설득하는 사회성을 통해 널리 만물을 살리는 딘입니다.","Diin is a warm and considerate character. Among the Diins, {name} has the highest proportion of sociability and tact. With beauty that shines even brighter in the dark and wisdom that burns warmly even in the cold, they have immense strength coming from within. Through the necessary tact for the goal and the sociability that persuades with rational justification, {name} is/are a Diin who saves the world."
정,4,gold,"딘은 따뜻하고 배려심이 깊은 캐릭터입니다. {name} 님은 딘들 중에서도 완벽주의와 예리함의 비율이 가장 많네요. 어둠 속에서 더욱 빛나는 아름다움과, 추위 속에서도 따뜻하게 타오르는 지혜를 통해, 밖에서 안으로 밀고 들어오는 힘이 대단합니다. 유난히 예리한 관찰력과 책임감에서 우러나오는 완벽주의를 통해 널리 만물을 살리는 딘입니다.","Diin is a warm and considerate character. Among the Diins, {name} has the highest proportion of perfectionism and sharpness. With beauty that shines even brighter in the dark and wisdom that burns warmly even in the cold, they have immense strength coming from within. Through keen observation and perfectionism driven by responsibility, {name} is/are a Diin who saves the world."
정,4,ground,"딘은 따뜻하고 배려심이 깊은 캐릭터입니다. {name} 님은 딘들 중에서도 차분함과 성실성의 비율이 가장 많네요. 어둠 속에서 더욱 빛나는 아름다움과, 추위 속에서도 따뜻하게 타오르는 지혜를 통해, 밖에서 안으로 밀고 들어오는 힘이 대단합니다. 드러나지 않지만 지원하는 차분함과 보이지 않지만 활동하는 성실성으로 널리 만물을 살리는 딘입니다.","Diin is a warm and considerate character. Among the Diins, {name} has the highest proportion of calmness and diligence. With beauty that shines even brighter in the dark and wisdom that burns warmly even in the cold, they have immense strength coming from within. With calmness that doesn’t show but supports, and diligence that works without being seen, {name} is/are a Diin who saves the world."
정,4,fire,"딘은 따뜻하고 배려심이 깊은 캐릭터입니다. {name} 님은 딘들 중에서도 리더십과 활동성의 비율이 가장 많네요. 어둠 속에서 더욱 빛나는 아름다움과, 추위 속에서도 따뜻하게 타오르는 지혜를 통해, 밖에서 안으로 밀고 들어오는 힘이 대단합니다. 연대감을 기반으로 한 활동력과 드러나지 않는 리더십으로 널리 만물을 살리는 딘입니다.","Diin is a warm and considerate character. Among the Diins, {name} has the highest proportion of leadership and activity. With beauty that shines even brighter in the dark and wisdom that burns warmly even in the cold, they have immense strength coming from within. Through the solidarity-based activity and unseen leadership, {name} is/are a Diin who saves the world."
정,4,wood,"딘은 따뜻하고 배려심이 깊은 캐릭터입니다. {name} 님은 딘들 중에서도 인자함과 추진력의 비율이 가장 많네요. 어둠 속에서 더욱 빛나는 아름다움과, 추위 속에서도 따뜻하게 타오르는 지혜를 통해, 밖에서 안으로 밀고 들어오는 힘이 대단합니다. 특별한 사명감과 인자한 마음으로 널리 만물을 살리는 딘입니다.","Diin is a character with warmth and deep consideration. {name} has the highest proportion of kindness and drive among the Diins. Through beauty that shines brighter in the dark and wisdom that burns warm even in the cold, {name} brings forth incredible strength that pushes inward. With a special sense of mission and a kind heart, {name} is/are a Diin who saves the world widely"
병,4,water,"딘은 화려하고 자기 중심적인 성품을 가진 캐릭터입니다. {name} 님은 딘들 중에서도 사회성과 처세술의 비율이 가장 많네요. 스스로 피어나는 아름다움과, 만물을 비추는 지혜를 통해, 안에서 밖으로 퍼져 나가는 힘이 대단합니다. 자신을 드러내지 않는 적당한 처세술과, 그래도 자신의 특성을 살려 해야 할 일은 하는 쾌활한 사회성을 통해 널리 세상을 아름답게 만드는 딘입니다.","Diin is a character with a dazzling, self-centered personality. {name} has the highest proportion of social skills and tact among the Diins. Through beauty that blooms on its own and wisdom that illuminates all things, {name} radiates energy outward. With just the right amount of tact and a cheerful sociability that gets things done, {name} is/are a Diin who makes the world beautiful."
병,4,gold,"딘은 화려하고 자기 중심적인 성품을 가진 캐릭터입니다. {name} 님은 딘들 중에서도 완벽주의와 예리함의 비율이 가장 많네요. 스스로 피어나는 아름다움과, 만물을 비추는 지혜를 통해, 안에서 밖으로 퍼져 나가는 힘이 대단합니다. 갈등을 일거에 해결하려는 과감한 결단력과, 차가운 것을 빛나게 제련하는 예리한 완벽주의로 널리 세상을 아름답게 만드는 딘입니다.","Diin is a character with a dazzling, self-centered personality. {name} has the highest proportion of perfectionism and sharpness among the Diins. Through beauty that blooms on its own and wisdom that illuminates all things, {name} radiates energy outward. With bold decision-making that solves conflicts and sharp perfectionism that refines cold things to shine, {name} is/are a Diin who makes the world beautiful."
병,4,ground,"딘은 화려하고 자기 중심적인 성품을 가진 캐릭터입니다. {name} 님은 딘들 중에서도 차분함과 성실함의 비율이 가장 많네요. 스스로 피어나는 아름다움과, 만물을 비추는 지혜를 통해, 안에서 밖으로 퍼져 나가는 힘이 대단합니다. 속도를 조절할 줄 아는 차분함과 쉴 때를 지키는 성실함으로 널리 세상을 아름답게 만드는 딘입니다.","Diin is a character with a dazzling, self-centered personality. {name} has the highest proportion of calmness and diligence among the Diins. Through beauty that blooms on its own and wisdom that illuminates all things, {name} radiates energy outward. With calmness that knows how to regulate speed and diligent sincerity that knows when to rest, {name} is/are a Diin who makes the world beautiful"
병,4,fire,"딘은 화려하고 자기 중심적인 성품을 가진 캐릭터입니다. {name} 님은 딘들 중에서도 리더십과 활동성의 비율이 가장 많네요. 스스로 피어나는 아름다움과, 만물을 비추는 지혜를 통해, 안에서 밖으로 퍼져 나가는 힘이 대단합니다. 속도감 있는 리더십과 눈부신 확장력으로 널리 세상을 아름답게 만드는 딘입니다.","Diin is a character with a dazzling, self-centered personality. {name} has the highest proportion of leadership and activity among the Diins. Through beauty that blooms on its own and wisdom that illuminates all things, {name} radiates energy outward. With speedy leadership and brilliant expansiveness, {name} is/are a Diin who makes the world beautiful."
병,4,wood,"딘은 화려하고 자기 중심적인 성품을 가진 캐릭터입니다. {name} 님은 딘들 중에서도 인자함과 추진력의 비율이 가장 많네요. 스스로 피어나는 아름다움과, 만물을 비추는 지혜를 통해, 안에서 밖으로 퍼져 나가는 힘이 대단합니다. 비범한 감수성과 인자한 마음으로 널리 세상을 아름답게 만드는 딘입니다.","Diin is a character with a dazzling, self-centered personality. {name} has the highest proportion of kindness and drive among the Diins. Through beauty that blooms on its own and wisdom that illuminates all things, {name} radiates energy outward. With extraordinary sensitivity and a kind heart, {name} is/are a Diin who makes the world beautiful."
기,3,water,"무디는 은근하고 포근한 성품을 가진 캐릭터입니다. {name} 님은 무디들 중에서도 사회성과 처세술의 비율이 가장 많네요. 추위 속에서 생명을 기르는 온정과, 남이 알아 주지 않아도 반드시 필요한 지혜를 통해, 밖을 바라 보면서도 안을 지키는 힘이 대단합니다. 생명을 기른다는 목표를 이루기 위해 필요한 적절한 처세술과, 생명을 살리는 일에는 너와 내가 있을 수 없다는 자기 희생적 사회성을 통해 널리 만물을 보호하는 무디입니다.","Moodey is a character with subtle and cozy qualities. {name} has the highest proportion of social skills and tact among the Moodeys. Through warmth that nurtures life even in the cold and necessary wisdom that may not be recognized by others, {name} has great strength that looks outward while protecting the inside. With the right tact for nurturing life and self-sacrificing sociability, {name} is/are a Moodey who protects all things"
기,3,gold,"무디는 은근하고 포근한 성품을 가진 캐릭터입니다. {name} 님은 무디들 중에서도 완벽주의와 예리함의 비율이 가장 많네요. 추위 속에서 생명을 기르는 온정과, 남이 알아 주지 않아도 반드시 필요한 지혜를 통해, 밖을 바라 보면서도 안을 지키는 힘이 대단합니다. 여름에 이미 겨울을 준비하는 타고난 완벽주의와, 가을에 이미 겨울 추위를 느껴 버리는 예리한 감각으로 널리 만물을 보호하는 무디입니다.","Moodey is a character with subtle and cozy qualities. {name} has the highest proportion of perfectionism and sharpness among the Moodeys. Through warmth that nurtures life even in the cold and necessary wisdom that may not be recognized by others, {name} has great strength that looks outward while protecting the inside. With natural perfectionism that prepares for winter in summer and sharp perception that feels the cold of autumn, {name} is/are a Moodey who protects all things"
기,3,ground,"무디는 은근하고 포근한 성품을 가진 캐릭터입니다. {name} 님은 무디들 중에서도 차분함과 성실성의 비율이 가장 많네요. 추위 속에서 생명을 기르는 온정과, 남이 알아 주지 않아도 반드시 필요한 지혜를 통해, 밖을 바라 보면서도 안을 지키는 힘이 대단합니다. 과유불급하는 차분한 마음과, 여름 밤에도 쉬지 않는 성실함으로 널리 만물을 보호하는 무디입니다.","Moodey is a character with subtle and cozy qualities. {name} has the highest proportion of calmness and diligence among the Moodeys. Through warmth that nurtures life even in the cold and necessary wisdom that may not be recognized by others, {name} has great strength that looks outward while protecting the inside. With calmness that practices moderation and diligence that never rests even on summer nights, {name} is/are a Moodey who protects all things"
